Taulu 11D Koko väestö sekä ulkomaalaistaustaiset1 maan ja iän mukaan suurpiireittäin vuodenvaihteessa 2021/2022. Lähde: Tilastokeskus ;;;;;;;;;;
Suurpiiri;Maaryhmä;Yhteensä;Ikä, vuotta 0-6;Ikä, vuotta 7-15;Ikä, vuotta 16-24;Ikä, vuotta 25-29;Ikä, vuotta 30-44;Ikä, vuotta 45-64;Ikä, vuotta 65-74;Ikä, vuotta 75+
Koko Helsinki ;Asukkaat yhteensä ;658,457;44,030;56,065;64,916;59,799;164,240;153,425;62,688;53,294
Koko Helsinki ;Ulkomaat yhteensä ;115,927;10,283;12,368;12,129;11,772;38,885;23,975;4,356;2,159
Koko Helsinki ;Eurooppa ;48,598;2,866;4,086;4,406;4,206;15,775;12,605;3,074;1,580
Koko Helsinki ;Eurooppa - EU-maat ;22,966;1,255;1,801;1,918;2,017;8,271;6,145;1,118;441
Koko Helsinki ;Eurooppa - EU-maat - Viro ;11,691;654;1,197;1,127;686;3,486;3,823;634;84
Koko Helsinki ;Eurooppa - EU-maat - Ruotsi ;986;85;121;109;79;267;178;62;85
Koko Helsinki ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;4,075;273;320;312;427;1,636;843;184;80
Koko Helsinki ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;1,937;36;41;52;219;756;605;142;86
Koko Helsinki ;Eurooppa - Muu Eurooppa ;23,695;1,575;2,244;2,436;1,970;6,748;5,855;1,814;1,053
Koko Helsinki ;Eurooppa - Muu Eurooppa - Venäjä ;1,763;189;93;405;697;198;128;31;22
Koko Helsinki ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;18,638;1,080;1,776;1,606;803;5,558;5,118;1,691;1,006
Koko Helsinki ;Afrikka ;23,214;3,566;3,875;3,169;2,270;6,231;3,634;355;114
Koko Helsinki ;Pohjois-Amerikka ;1,949;75;102;110;227;810;456;104;65
Koko Helsinki ;Latinalainen Amerikka ja Karibia ;2,879;117;101;160;272;1,482;654;58;35
Koko Helsinki ;Kaakkois- ja Itä-Aasia ;11,767;671;836;1,231;1,642;4,634;2,403;268;82
Koko Helsinki ;Etelä-, Länsi- ja Keski-Aasia ;25,232;2,933;3,332;2,891;2,788;8,912;3,789;432;155
Koko Helsinki ;Oseania ;405;9;10;14;47;221;89;10;5
Koko Helsinki ;Valtioton ja tuntematon ;1,883;46;26;148;320;820;345;55;123
2 Eteläinen suurpiiri ;Asukkaat yhteensä ;121,157;7,216;8,618;12,714;13,613;31,199;26,841;11,020;9,936
3 Eteläinen suurpiiri ;Ulkomaat yhteensä ;12,513;649;747;920;1,520;5,273;2,597;449;358
4 Eteläinen suurpiiri ;Eurooppa ;6,501;290;327;474;817;2,569;1,474;301;249
5 Eteläinen suurpiiri ;Eurooppa - EU-maat ;3,224;135;127;215;388;1,376;744;116;123
6 Eteläinen suurpiiri ;Eurooppa - EU-maat - Viro ;717;30;38;67;59;271;221;21;10
7 Eteläinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;268;14;14;26;18;85;71;15;25
8 Eteläinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;588;29;35;39;66;261;113;28;17
9 Eteläinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;563;13;29;13;47;212;185;36;28
10 Eteläinen suurpiiri ;Eurooppa - Muu Eurooppa ;2,714;142;171;246;382;981;545;149;98
11 Eteläinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;284;15;8;51;169;25;12;- ;-
12 Eteläinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;2,161;113;145;175;143;854;493;142;96
13 Eteläinen suurpiiri ;Afrikka ;841;78;82;102;103;295;146;22;13
14 Eteläinen suurpiiri ;Pohjois-Amerikka ;678;30;44;38;73;274;159;37;23
15 Eteläinen suurpiiri ;Latinalainen Amerikka ja Karibia ;740;31;27;38;60;412;148;14;10
16 Eteläinen suurpiiri ;Kaakkois- ja Itä-Aasia ;1,552;68;113;123;207;674;327;32;8
17 Eteläinen suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;1,656;132;140;120;180;777;258;27;22
18 Eteläinen suurpiiri ;Oseania ;115;6;- ;- ;11;66;24;- ;-
19 Eteläinen suurpiiri ;Valtioton ja tuntematon ;430;14;13;23;69;206;61;13;31
3 Läntinen suurpiiri ;Asukkaat yhteensä ;112,045;7,419;9,096;10,964;10,525;28,113;25,180;10,898;9,850
4 Läntinen suurpiiri ;Ulkomaat yhteensä ;19,106;1,763;1,914;2,118;2,096;6,628;3,652;631;304
5 Läntinen suurpiiri ;Eurooppa ;7,520;451;587;761;662;2,482;1,919;441;217
6 Läntinen suurpiiri ;Eurooppa - EU-maat ;3,805;213;255;335;324;1,360;1,038;194;86
7 Läntinen suurpiiri ;Eurooppa - EU-maat - Viro ;1,913;113;182;169;107;577;659;93;13
8 Läntinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;159;19;12;19;11;32;32;14;20
9 Läntinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;730;52;41;74;74;283;143;49;14
10 Läntinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;256;- ;- ;6;26;97;83;26;17
11 Läntinen suurpiiri ;Eurooppa - Muu Eurooppa ;3,459;237;332;420;312;1,025;798;221;114
12 Läntinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;315;34;11;93;118;33;21;- ;-
13 Läntinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;2,536;146;233;252;118;802;680;200;105
14 Läntinen suurpiiri ;Afrikka ;4,321;696;714;522;373;1,261;655;81;19
15 Läntinen suurpiiri ;Pohjois-Amerikka ;227;6;7;16;28;101;53;8;8
16 Läntinen suurpiiri ;Latinalainen Amerikka ja Karibia ;414;15;16;29;36;203;103;7;5
17 Läntinen suurpiiri ;Kaakkois- ja Itä-Aasia ;2,082;112;114;262;350;855;354;24;11
18 Läntinen suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;4,145;475;473;489;592;1,548;484;64;20
19 Läntinen suurpiiri ;Oseania ;57;- ;- ;- ;7;32;11;- ;-
20 Läntinen suurpiiri ;Valtioton ja tuntematon ;340;8;- ;35;48;146;73;5;24
4 Keskinen suurpiiri ;Asukkaat yhteensä ;98,640;5,160;5,154;11,526;13,571;30,074;19,097;8,038;6,020
5 Keskinen suurpiiri ;Ulkomaat yhteensä ;11,684;624;684;1,237;1,827;4,778;1,973;357;204
6 Keskinen suurpiiri ;Eurooppa ;5,095;180;197;533;795;2,110;926;218;136
7 Keskinen suurpiiri ;Eurooppa - EU-maat ;2,607;82;95;221;395;1,200;497;90;27
8 Keskinen suurpiiri ;Eurooppa - EU-maat - Viro ;759;22;49;92;64;250;234;44;-
9 Keskinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;130;- ;10;17;19;51;18;7;-
10 Keskinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;468;16;19;40;91;209;67;21;5
11 Keskinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;346;6;- ;15;62;162;72;15;10
12 Keskinen suurpiiri ;Eurooppa - Muu Eurooppa ;2,142;92;98;297;338;748;357;113;99
13 Keskinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;285;6;- ;91;153;24;5;- ;-
14 Keskinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;1,538;64;81;155;112;620;304;105;97
15 Keskinen suurpiiri ;Afrikka ;1,857;223;249;235;220;542;329;39;20
16 Keskinen suurpiiri ;Pohjois-Amerikka ;355;10;7;14;60;169;62;19;14
17 Keskinen suurpiiri ;Latinalainen Amerikka ja Karibia ;516;18;15;24;61;280;104;11;-
18 Keskinen suurpiiri ;Kaakkois- ja Itä-Aasia ;1,653;74;62;199;334;670;268;39;7
19 Keskinen suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;1,881;117;151;199;269;856;245;27;17
20 Keskinen suurpiiri ;Oseania ;87;- ;- ;6;11;55;13;- ;-
21 Keskinen suurpiiri ;Valtioton ja tuntematon ;240;- ;- ;27;77;96;26;- ;7
5 Pohjoinen suurpiiri ;Asukkaat yhteensä ;42,973;3,293;4,985;3,384;2,116;9,386;11,064;4,645;4,100
6 Pohjoinen suurpiiri ;Ulkomaat yhteensä ;3,977;353;488;327;300;1,296;945;183;85
7 Pohjoinen suurpiiri ;Eurooppa ;1,666;93;161;101;101;517;497;130;66
8 Pohjoinen suurpiiri ;Eurooppa - EU-maat ;894;49;85;49;45;298;291;55;22
9 Pohjoinen suurpiiri ;Eurooppa - EU-maat - Viro ;454;24;55;30;19;122;171;28;5
10 Pohjoinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;46;5;8;- ;- ;12;6;- ;6
11 Pohjoinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;147;7;14;6;11;65;34;8;-
12 Pohjoinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;79;- ;- ;- ;7;28;27;8;8
13 Pohjoinen suurpiiri ;Eurooppa - Muu Eurooppa ;693;44;76;51;49;191;179;67;36
14 Pohjoinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;34;6;- ;7;10;- ;6;- ;-
15 Pohjoinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;597;32;65;40;33;167;160;64;36
16 Pohjoinen suurpiiri ;Afrikka ;863;137;177;87;54;238;159;10;-
17 Pohjoinen suurpiiri ;Pohjois-Amerikka ;93;- ;15;- ;6;24;31;8;-
18 Pohjoinen suurpiiri ;Latinalainen Amerikka ja Karibia ;107;- ;- ;- ;- ;57;33;- ;-
19 Pohjoinen suurpiiri ;Kaakkois- ja Itä-Aasia ;442;42;31;34;43;182;92;16;-
20 Pohjoinen suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;740;74;103;95;85;251;116;12;-
21 Pohjoinen suurpiiri ;Oseania ;15;- ;- ;- ;- ;9;- ;- ;-
22 Pohjoinen suurpiiri ;Valtioton ja tuntematon ;51;- ;- ;- ;7;18;14;- ;5
6 Koillinen suurpiiri ;Asukkaat yhteensä ;99,351;7,902;10,628;9,029;6,727;23,284;24,247;10,076;7,458
7 Koillinen suurpiiri ;Ulkomaat yhteensä ;21,193;2,369;2,786;2,256;1,845;6,614;4,230;752;341
8 Koillinen suurpiiri ;Eurooppa ;8,352;612;915;825;576;2,414;2,215;528;267
9 Koillinen suurpiiri ;Eurooppa - EU-maat ;4,023;283;440;392;295;1,258;1,115;190;50
10 Koillinen suurpiiri ;Eurooppa - EU-maat - Viro ;2,632;178;320;280;135;724;837;142;16
11 Koillinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;96;10;20;8;8;21;21;- ;5
12 Koillinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;671;58;79;46;67;245;143;23;10
13 Koillinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;182;6;- ;- ;20;71;60;16;-
14 Koillinen suurpiiri ;Eurooppa - Muu Eurooppa ;4,147;323;474;429;261;1,085;1,040;322;213
15 Koillinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;250;44;14;50;78;33;24;- ;-
16 Koillinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;3,395;221;387;320;126;915;916;303;207
17 Koillinen suurpiiri ;Afrikka ;4,937;900;928;661;406;1,267;698;62;15
18 Koillinen suurpiiri ;Pohjois-Amerikka ;144;8;8;12;22;47;37;10;-
19 Koillinen suurpiiri ;Latinalainen Amerikka ja Karibia ;297;14;12;15;29;144;73;8;-
20 Koillinen suurpiiri ;Kaakkois- ja Itä-Aasia ;2,114;147;165;201;265;827;442;49;18
21 Koillinen suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;5,054;681;751;523;503;1,781;711;82;22
22 Koillinen suurpiiri ;Oseania ;33;- ;- ;- ;7;16;- ;- ;-
23 Koillinen suurpiiri ;Valtioton ja tuntematon ;262;6;- ;17;37;118;50;13;17
7 Kaakkoinen suurpiiri ;Asukkaat yhteensä ;56,728;4,296;5,342;4,774;4,329;14,050;13,840;5,574;4,523
8 Kaakkoinen suurpiiri ;Ulkomaat yhteensä ;8,625;795;987;843;778;2,779;1,890;391;162
9 Kaakkoinen suurpiiri ;Eurooppa ;4,005;267;359;339;270;1,289;1,092;280;109
10 Kaakkoinen suurpiiri ;Eurooppa - EU-maat ;1,729;105;148;127;116;610;491;101;31
11 Kaakkoinen suurpiiri ;Eurooppa - EU-maat - Viro ;839;42;87;76;49;238;293;47;7
12 Kaakkoinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;87;7;20;9;5;20;14;- ;8
13 Kaakkoinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;315;31;18;26;22;136;59;17;6
14 Kaakkoinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;170;- ;- ;- ;25;63;59;12;6
15 Kaakkoinen suurpiiri ;Eurooppa - Muu Eurooppa ;2,106;161;209;210;129;616;542;167;72
16 Kaakkoinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;119;11;6;34;37;13;13;- ;-
17 Kaakkoinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;1,733;118;177;142;66;515;490;158;67
18 Kaakkoinen suurpiiri ;Afrikka ;1,760;272;320;216;201;432;272;35;12
19 Kaakkoinen suurpiiri ;Pohjois-Amerikka ;121;7;6;- ;7;59;28;- ;8
20 Kaakkoinen suurpiiri ;Latinalainen Amerikka ja Karibia ;249;11;8;16;31;128;47;6;-
21 Kaakkoinen suurpiiri ;Kaakkois- ja Itä-Aasia ;661;46;61;69;65;247;139;27;7
22 Kaakkoinen suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;1,673;190;231;193;183;565;269;32;10
23 Kaakkoinen suurpiiri ;Oseania ;32;- ;- ;- ;- ;14;12;- ;-
24 Kaakkoinen suurpiiri ;Valtioton ja tuntematon ;124;- ;- ;7;20;45;31;7;13
8 Itäinen suurpiiri ;Asukkaat yhteensä ;112,853;8,267;11,101;10,430;7,243;24,085;29,545;11,606;10,576
9 Itäinen suurpiiri ;Ulkomaat yhteensä ;33,397;3,594;4,456;3,539;2,597;9,486;7,606;1,472;647
10 Itäinen suurpiiri ;Eurooppa ;13,472;942;1,432;1,186;745;3,590;3,969;1,108;500
11 Itäinen suurpiiri ;Eurooppa - EU-maat ;5,500;368;579;494;323;1,630;1,676;339;91
12 Itäinen suurpiiri ;Eurooppa - EU-maat - Viro ;3,736;236;422;371;192;1,029;1,224;235;27
13 Itäinen suurpiiri ;Eurooppa - EU-maat - Ruotsi ;147;21;32;22;9;28;8;12;15
14 Itäinen suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;933;79;101;58;71;329;237;36;22
15 Itäinen suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;263;9;5;7;20;91;93;26;12
16 Itäinen suurpiiri ;Eurooppa - Muu Eurooppa ;7,709;565;848;685;402;1,869;2,200;743;397
17 Itäinen suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;409;71;47;62;104;57;44;15;9
18 Itäinen suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;6,146;379;661;468;166;1,499;1,906;691;376
19 Itäinen suurpiiri ;Afrikka ;7,032;1,209;1,309;906;608;1,752;1,131;88;29
20 Itäinen suurpiiri ;Pohjois-Amerikka ;204;9;9;17;19;80;50;14;6
21 Itäinen suurpiiri ;Latinalainen Amerikka ja Karibia ;430;22;15;27;42;192;115;8;9
22 Itäinen suurpiiri ;Kaakkois- ja Itä-Aasia ;2,805;166;264;308;303;953;711;74;26
23 Itäinen suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;9,069;1,232;1,422;1,066;823;2,758;1,544;170;54
24 Itäinen suurpiiri ;Oseania ;32;- ;- ;- ;7;13;9;- ;-
25 Itäinen suurpiiri ;Valtioton ja tuntematon ;353;14;5;29;50;148;77;8;22
9 Östersundomin suurpiiri ;Asukkaat yhteensä ;1,809;82;232;237;45;226;747;135;105
10 Östersundomin suurpiiri ;Ulkomaat yhteensä ;137;6;11;8;6;42;55;6;-
11 Östersundomin suurpiiri ;Eurooppa ;109;5;9;7;- ;29;47;5;-
12 Östersundomin suurpiiri ;Eurooppa - EU-maat ;46;- ;- ;- ;- ;17;18;- ;-
13 Östersundomin suurpiiri ;Eurooppa - EU-maat - Viro ;31;- ;- ;- ;- ;13;11;- ;-
14 Östersundomin suurpiiri ;Eurooppa - EU-maat - Ruotsi ;- ;- ;- ;- ;- ;- ;- ;- ;-
15 Östersundomin suurpiiri ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;- ;- ;- ;- ;- ;- ;- ;- ;-
16 Östersundomin suurpiiri ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;- ;- ;- ;- ;- ;- ;- ;- ;-
17 Östersundomin suurpiiri ;Eurooppa - Muu Eurooppa ;60;- ;5;6;- ;12;26;- ;-
18 Östersundomin suurpiiri ;Eurooppa - Muu Eurooppa - Venäjä ;- ;- ;- ;- ;- ;- ;- ;- ;-
19 Östersundomin suurpiiri ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;56;- ;- ;6;- ;10;26;- ;-
20 Östersundomin suurpiiri ;Afrikka ;- ;- ;- ;- ;- ;- ;- ;- ;-
21 Östersundomin suurpiiri ;Pohjois-Amerikka ;- ;- ;- ;- ;- ;- ;- ;- ;-
22 Östersundomin suurpiiri ;Latinalainen Amerikka ja Karibia ;12;- ;- ;- ;- ;8;- ;- ;-
23 Östersundomin suurpiiri ;Kaakkois- ja Itä-Aasia ;6;- ;- ;- ;- ;- ;- ;- ;-
24 Östersundomin suurpiiri ;Etelä-, Länsi- ja Keski-Aasia ;- ;- ;- ;- ;- ;- ;- ;- ;-
25 Östersundomin suurpiiri ;Oseania ;- ;- ;- ;- ;- ;- ;- ;- ;-
26 Östersundomin suurpiiri ;Valtioton ja tuntematon ;;;;;;;;;
Muut ;Asukkaat yhteensä ;12,901;395;909;1,858;1,630;3,823;2,864;696;726
Muut ;Ulkomaat yhteensä ;5,295;130;295;881;803;1,989;1,027;115;55
Muut ;Eurooppa ;1,878;26;99;180;236;775;466;63;33
Muut ;Eurooppa - EU-maat ;1,138;19;68;84;129;522;275;32;9
Muut ;Eurooppa - EU-maat - Viro ;610;8;41;41;60;262;173;23;-
Muut ;Eurooppa - EU-maat - Ruotsi ;50;5;5;- ;8;17;6;- ;-
Muut ;Eurooppa - EU-maat - 2000-luvulla liittyneet (pl. Viro) ;221;- ;13;23;25;107;47;- ;-
Muut ;Eurooppa - Muu Pohjois- ja Länsi-Eurooppa ;75;- ;- ;- ;12;32;23;- ;-
Muut ;Eurooppa - Muu Eurooppa ;665;7;31;92;95;221;168;28;23
Muut ;Eurooppa - Muu Eurooppa - Venäjä ;66;- ;- ;17;28;10;- ;- ;-
Muut ;Eurooppa - Muu Eurooppa - Entinen Neuvostoliitto ;476;- ;23;48;37;176;143;24;21
Muut ;Afrikka ;1,599;51;96;440;305;444;240;18;5
Muut ;Pohjois-Amerikka ;127;- ;6;6;12;56;36;5;-
Muut ;Latinalainen Amerikka ja Karibia ;124;- ;7;8;8;65;31;- ;-
Muut ;Kaakkois- ja Itä-Aasia ;446;16;25;35;74;218;68;7;-
Muut ;Etelä-, Länsi- ja Keski-Aasia ;1,008;31;60;206;153;373;162;17;6
Muut ;Oseania ;31;- ;- ;- ;- ;15;11;- ;-
Muut ;Valtioton ja tuntematon ;82;- ;- ;6;12;43;13;- ;-
